rowid,pl_letter,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_name,hip_name
322,b,1244,2.35,0.41,,0.38,Msini,,,HD 126614 b,HIP 70623
323,b,453.019,1.084,0.303,30,1.769,Msini,,,HD 128311 b,HIP 71395
324,c,921.538,1.74,0.159,55.95,3.789,Mass,,,HD 128311 c,HIP 71395
325,b,298.2,0.87,0.57,,0.89,Msini,,,HD 128356 b,HIP 71481
326,b,1840,2.9,0.7,,1.6,Msini,,,HD 129445 b,HIP 72203
327,b,10.70871,0.0925,0.029,,1.15,Msini,,,HD 130322 b,HIP 72339
328,b,200887.5,82,0.35,40,4,Mass,,,HD 131399 A b,HIP 72940 A
329,b,883,2.09,0.163,,2.2,Msini,,,HD 131496 b,HIP 72845
330,b,1951,3.17,0.638,,18.15,Msini,,,HD 131664 b,HIP 73408
331,b,471.6,1.85,0.27,,14,Msini,,,HD 13189 b,HIP 10085
332,b,974,1.98,0.34,,5.61,Msini,,,HD 132406 b,HIP 73146
333,b,1544,2.62,0.22,,1.49,Msini,,,HD 132563 b,HIP 73261 A
334,b,649,1.44,0.33,,1.42,Msini,,,HD 133131 A b,HIP 73674 A
335,c,3568,4.49,0.49,,0.42,Msini,,,HD 133131 A c,HIP 73674 A
336,1,5769,6.15,0.61,,2.5,Msini,,,HD 133131 B b,HIP 73674 B
337,b,258.19,0.81,0.233,,1.59,Msini,,,HD 134987 b,HIP 74500
338,c,5000,5.8,0.12,,0.82,Msini,,,HD 134987 c,HIP 74500
339,b,464.3,1.32,0.255,,2,Msini,,,HD 136418 b,HIP 74961
340,b,330,0.89,0.36,,0.223,Msini,,,HD 137388 A b,HIP 76351
341,b,19.382,0.154,0.02,,0.865,Msini,,,HD 13908 b,HIP 10743
342,c,931,2.03,0.12,,5.13,Msini,,,HD 13908 c,HIP 10743
343,b,4218,5.15,0.02,,1.88,Msini,,,HD 13931 b,HIP 10626
344,b,1125.7,2.36,0.1,,9.76,Msini,,,HD 139357 b,HIP 76311
345,b,1455,3.4,0.533,,7.8,Msini,,,HD 14067 b,HIP 10657
346,b,94.44,0.415,0.04,,0.451,Msini,,,HD 141399 b,HIP 77301
347,c,201.99,0.689,0.048,,1.33,Msini,,,HD 141399 c,HIP 77301
348,d,1069.8,2.09,0.074,,1.18,Msini,,,HD 141399 d,HIP 77301
349,e,5000,5,0.26,,0.66,Msini,,,HD 141399 e,HIP 77301
350,b,653.22,1.4877,0.41,,9.316,Msini,,,HD 141937 b,HIP 77740
351,b,349.7,1.02,0.17,,1.25,Msini,,,HD 142 b,HIP 522
352,c,6005,6.8,0.21,,5.3,Msini,,,HD 142 c,HIP 522
